a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase_inshort
0.8671,0.1881,2239.19,376.93,0,0,0.2712,2.0069,0.1146,3,0,3.01E+11,65.0185,IM
0.9062,0.1902,2232,232,-15.36,3.456,0.5004,2.008,0.064,4.2,2.4,2.92E+11,56,IM
1.024,0.2817,1876.49,666.82,0,0,0.6365,1.8967,0.2027,3,0,2.39E+11,115.0227,IM
1.028,0.2538,2312.4,313.58,-41.44,8.1388,0.9503,1.92,0.1716,4.6,2.3324,2.62E+11,71.1056,IM
1.0727,0.3331,2400.67,74.48,-58.6667,3.457,0.6365,1.7933,0.3488,3.3333,0.4714,2.50E+11,98.9949,IM
1.079,0.2475,2428.5,558.09,-46.25,9.3802,1.0397,1.8725,0.2215,5.25,2.8614,2.55E+11,65.3835,IM
1.08,0.2477,2303.5,350.03,-45.25,9.5731,1.0397,1.89,0.1797,5,2.4495,2.48E+11,72.5862,IM
1.0982,0.2512,1992.22,353.58,-30.0247,8.2773,0.965,1.8467,0.2687,5.2222,2.4845,2.21E+11,97.3699,IM
1.104,0.1819,1934.67,292.27,-21.3333,1.2571,0.6365,1.9533,0.0613,7.6667,3.2998,2.27E+11,65.9966,IM
1.106,0.1829,2236,79.2,-27.5556,1.6237,0.6365,1.7867,0.1791,5,1.4142,2.13E+11,75.4247,IM
1.1073,0.1835,1961.33,273.41,-21.3333,1.2571,0.6365,1.9333,0.0754,7,2.8284,2.27E+11,65.9966,IM
1.1163,0.157,1903.5,260.47,-34.5,10.4208,1.3863,1.9125,0.0779,6,2.5495,1.93E+11,79.8044,AM
1.1224,0.2233,2443.2,433.52,-31.68,7.3694,1.0549,2.062,0.093,5.6,2.5768,2.56E+11,55.3534,IM
1.1231,0.1866,2043.01,397.63,-26.5718,8.4745,1.2082,1.8995,0.127,6.69,2.6616,2.23E+11,65.9527,AM
1.1234,0.2235,2451.2,420.42,-31.04,7.721,1.0549,2.056,0.1031,5.4,2.245,2.56E+11,55.3534,IM
1.125,0.2245,2770.8,783.76,-27.84,7.7723,1.0549,2.136,0.192,5.4,2.245,2.88E+11,54.1849,IM
1.1395,0.1619,1883,268.47,-18,2.5981,0.5623,1.9425,0.0563,8.25,3.0311,2.15E+11,60.6218,IM
1.1446,0.2468,1900.61,345.27,-22.1358,2.9131,0.8277,1.9028,0.2271,7.2222,3.489,2.18E+11,81.2083,IM
1.1447,0.2045,2337.33,460.57,-28,8.0346,1.0986,2.0267,0.1147,6,2.4495,2.43E+11,57.9272,IM
1.1632,0.0881,1600.11,116.93,-11.3019,5.7383,0.3365,1.5668,0.0092,2.2105,0.6138,1.28E+11,6.1378,IM
1.1635,0.3166,1907.17,473.32,-41.1111,11.3102,1.0114,1.705,0.4064,3.8333,1.8634,1.99E+11,129.4488,IM
1.1637,0.1519,1799.43,348.25,-13.2699,6.5984,0.7441,1.9466,0.0593,8.2069,2.9406,1.99E+11,70.6422,IM
1.165,0.1529,1841.86,263.78,-17.8074,3.6638,0.7441,1.9121,0.1115,8.3448,2.8318,2.05E+11,60.721,IM
1.166,0.2354,2021.33,263.73,-45.4444,10.7039,1.0114,1.8417,0.2398,6.1667,2.8529,2.08E+11,87.8003,IM
1.1663,0.1523,1916.62,243.7,-19.5767,3.4145,0.7441,1.8959,0.0967,7.4828,2.4999,2.08E+11,57.6347,IM
1.1673,0.1529,1828.4,342.73,-12.6706,6.9379,0.7441,1.9248,0.0727,7.4828,2.4999,1.99E+11,70.6422,IM
1.1706,0.158,1964,438.29,-23.258,3.9005,0.7441,1.9086,0.1228,8.2069,2.9406,2.10E+11,56.2312,IM
1.1716,0.1616,1832.68,343,-18.5714,3.1303,0.7589,1.895,0.1023,7.2857,2.7105,2.03E+11,66.8065,IM
