d,Dc,DHm,Sid,Phase_inshort
11.27,0.29,-23,5.76,AM
6.85,0.16,-30,5.76,AM
9.29,0.16,-23.68,13.38,AM
15.25,0.26,-13.12,13.38,AM
18.14,0.35,-13.11,14.9,AM
15.71,0.26,-12.15,14.53,AM
13.74,0.3,-37.6,13.38,AM
7.84,0.11,-20,13.38,AM
9.25,0.22,-21.28,13.38,AM
7.29,0.13,-41.25,4.68,AM
11.22,0.3,-3,5.76,AM
12.52,0.29,-49,5.76,AM
12.47,0.3,-4,5.76,AM
10.33,0.27,-27.36,13.38,AM
10.43,0.25,-15.2,13.38,AM
10.23,0.26,-23.52,13.38,AM
8.67,0.23,-34.08,13.38,AM
7.46,0.26,-16.11,14.9,AM
8.65,0.24,-32.19,17.29,AM
13.98,0.22,-35.2,12.18,AM
9.08,0.14,-24.88,10.64,AM
18.56,0.3,-33.35,13.66,AM
11.02,0.3,-8.45,9.45,AM
11.85,0.28,-24.88,8.79,AM
13.55,0.25,-34.92,11.26,AM
18.41,0.29,-33.36,12,AM
12.16,0.18,-25.88,11.6,AM
9.64,0.17,-24.94,10.55,AM
13.45,0.26,-14.26,7.37,AM
17.6,0.37,-10.2,9.05,AM
18.94,0.4,-11.3,8.67,AM
18.07,0.38,-12.39,10.06,AM
18.1,0.38,-13.29,10.04,AM
18.57,0.39,-14.69,10.04,AM
18.07,0.39,-10.92,8.56,AM
15.52,0.31,-13.04,10.04,AM
16.92,0.37,-10.2,8.46,AM
17.15,0.37,-10.39,8.29,AM
19.14,0.42,-11.75,7.7,AM
13.71,0.26,-13.78,8.29,AM
14.68,0.28,-16.22,8.24,AM
16.94,0.37,-10.26,8.04,AM
16.01,0.35,-9.6,7.9,AM
14.76,0.32,-8.73,7.8,AM
13.99,0.27,-15.03,7.87,AM
15.05,0.29,-17.76,7.47,AM
15.54,0.32,-17.83,6.7,AM
17.09,0.38,-10.31,7.12,AM
14.61,0.32,-8.55,7.37,AM
13.19,0.28,-7.58,7.12,AM
10.29,0.26,-5.71,7.12,AM
10.55,0.26,-5.71,7.12,AM
10.22,0.26,-5.71,7.12,AM
9.4,0.27,-5.71,7.12,AM
9.67,0.26,-7.21,8.01,AM
9.64,0.25,-6.98,7.81,AM
10.72,0.23,-7.17,6.79,AM
8.36,0.23,-6.9,6.81,AM
11.06,0.25,-6.37,6.61,AM
9.49,0.23,-6,6.84,AM
9.42,0.22,-5.46,6.07,AM
6.91,0.19,-4.4,5.31,AM
10.58,0.24,-41.93,11.51,AM
11.27,0.24,-46.54,8.95,AM
9.86,0.22,-35.04,7.8,AM
9.03,0.2,-32.88,7.47,AM
10.64,0.24,-39.62,9.63,AM
10.86,0.24,-39.35,9.3,AM
6.3,0.13,-32.16,5.58,AM
10.5,0.34,-22.27,6.61,AM
9.17,0.14,-22.72,8.77,AM
7.32,0.28,-36.05,10.56,AM
7.53,0.27,-30.97,10.31,AM
7.73,0.25,-25.72,9.92,AM
11.27,0.17,-26.37,11.3,AM
7.91,0.18,-19.93,9.77,AM
9.1,0.19,-25.96,10.31,AM
9.86,0.34,-31.27,10.85,AM
10.03,0.28,-24.97,10.85,AM
10.5,0.28,-27.23,10.85,AM
9.86,0.27,-23.89,10.85,AM
10.41,0.27,-24.36,10.49,AM
9.96,0.27,-23.14,10.49,AM
10.02,0.29,-31.46,10.49,AM
15.23,0.33,-31.42,9.23,AM
16.19,0.33,-33.6,9.44,AM
16.17,0.33,-32.31,10.02,AM
16.42,0.35,-28.79,8.98,AM
15.08,0.35,-27.41,8.81,AM
15.36,0.35,-26.95,8.62,AM
15.77,0.35,-26.27,8.17,AM
19.93,0.22,-19.19,7.86,AM
19.89,0.19,-19.61,7.65,AM
19.9,0.21,-19.21,7.65,AM
19.73,0.18,-19.53,7.42,AM
19.73,0.18,-19.72,7.42,AM
19.76,0.18,-19.35,6.58,AM
19.77,0.19,-19.27,6.58,AM
19.74,0.18,-19.86,8.55,AM
19.74,0.18,-19.75,8.23,AM
19.74,0.18,-19.64,7.86,AM
19.86,0.19,-19.55,7.42,AM
19.86,0.21,-19.22,7.42,AM
19.83,0.19,-19.48,7.18,AM
12.06,0.27,-8.05,7.37,AM
6.56,0.11,-21.22,13.21,SS
2.31,0.36,-6.5,11.53,SS
3.15,0.34,-4.64,13.38,SS
1.03,0.09,3.2,13.38,SS
0.28,0.11,-4.32,11.08,SS
5.28,0.12,-4.78,14.9,SS
5.89,0.12,-7.05,14.79,SS
6.26,0.13,-8.65,14.53,SS
